CAMS 1605 Ozone Summary Report for 2018
St. Edwards University C1605 - EPA Site: 48_453_1605
Ozone (POC 1) measured in parts per billion
Data from this instrument does not meet EPA quality assurance criteria and cannot be used for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
02/24/2018,3,8,10,12,13,14,13,11,12,12,12,12,13,14,15,14,13,10,8,5,3,17,25,27
02/25/2018,24,23,22,22,22,20,19,19,18,20,25,27,27,23,25,31,31,31,25,20,16,14,12,13
02/26/2018,13,13,10,9,6,5,2,3,5,11,15,20,28,31,33,32,32,31,29,23,22,19,17,18
02/27/2018,21,23,22,19,17,12,9,6,8,8,9,10,17,22,23,24,26,26,22,18,17,15,14,13
02/28/2018,14,16,16,14,12,8,6,6,10,14,18,21,25,29,32,30,29,27,23,20,19,18,16,15
03/01/2018,14,19,30,29,27,23,20,19,23,26,27,27,29,30,32,32,31,29,27,29,29,29,27,24
03/02/2018,22,22,25,25,25,18,15,11,16,21,22,23,29,35,40,42,42,41,36,28,31,29,32,33
03/03/2018,29,28,26,26,26,21,12,12,19,27,32,34,37,42,42,39,31,31,35,34,33,31,32,33
03/04/2018,32,32,31,29,29,29,25,21,20,20,19,19,24,26,24,26,27,27,22,17,14,12,13,14
03/05/2018,14,14,14,14,14,13,11,7,6,10,13,17,22,28,31,37,42,44,45,43,44,44,43,42
03/06/2018,39,40,39,38,38,35,32,29,32,35,41,46,49,51,52,54,53,51,44,33,30,36,34,40
03/07/2018,39,38,38,37,34,34,31,28,29,33,37,40,42,45,47,48,48,48,40,30,29,30,31,30
03/08/2018,29,30,27,26,23,24,21,20,22,30,36,37,42,46,50,50,50,49,44,41,43,42,39,35
03/09/2018,34,34,32,25,25,23,18,17,23,29,35,41,44,44,44,43,42,42,40,38,36,37,37,36
03/10/2018,36,33,30,27,24,20,17,19,25,30,32,33,38,44,49,54,55,55,49,39,38,33,32,30
