CAMS 1068 Nitric Oxide Summary Report for 2020
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
Nitric Oxide (POC 1) measured in parts per billion
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/30/2020,9.8,4.6,9.0,7.4,1.2,0.7,1.0,1.1,1.3,11.5,16.9,16.7,9.2,3.2,1.5,3.5,1.8,1.3,0.9,19.6,2.1,5.2,0.7,1.0
01/31/2020,0.5,0.8,3.1,0.5,0.5,0.6,0.7,1.2,2.1,2.1,1.3,3.0,1.3,0.9,0.6,0.7,0.5,0.4,1.9,0.9,1.9,11.6,22.6,20.4
02/01/2020,4.4,3.5,1.0,1.3,0.5,0.9,0.9,1.2,1.5,1.7,1.3,0.7,1.0,0.6,0.5,0.3,0.5,0.4,0.5,23.1,84.8,65.8,94.3,105.3
02/02/2020,117.7,SPN,SPN,1.4,0.5,6.1,9.4,1.5,15.2,2.0,2.8,12.3,6.7,3.9,5.6,5.3,5.6,6.7,14.4,18.8,12.2,6.4,5.4,4.0
02/03/2020,2.2,3.0,4.8,4.5,9.5,14.0,20.1,21.3,19.6,15.2,PMA,PMA,8.1,9.5,10.6,13.9,9.9,8.3,9.9,11.7,9.2,7.5,6.8,5.2
02/04/2020,4.5,6.5,4.0,4.5,8.8,21.0,29.3,25.7,26.3,17.0,15.6,18.2,11.0,6.8,11.8,5.5,1.3,1.3,0.9,0.6,0.4,0.5,0.4,0.3
02/05/2020,0.4,0.1,0.3,0.1,0.1,0.2,0.3,0.6,0.5,0.7,1.2,1.3,1.3,1.1,1.4,1.4,1.0,0.6,0.3,0.3,0.1,0.2,0.2,0.3
02/06/2020,0.1,0.2,0.1,0.0,0.1,0.3,1.1,1.5,1.7,1.5,1.0,0.6,0.3,0.5,0.4,0.1,0.3,0.2,0.5,1.7,50.1,71.2,100.0,85.1
02/07/2020,70.0,41.6,57.3,44.7,17.6,8.3,87.2,99.4,83.7,70.4,11.3,1.5,1.8,1.7,0.2,0.1,0.3,0.2,0.1,22.9,19.7,23.1,17.0,9.0
02/08/2020,13.4,0.8,0.6,0.6,0.5,9.3,17.8,19.6,19.0,20.7,21.0,20.5,16.6,13.2,14.0,14.9,10.8,12.0,18.8,15.7,9.5,7.7,7.6,3.8
