CAMS 171 PM-2.5 (Local Conditions) Summary Report for 2019
Austin Webberville Road AF171 - EPA Site: 48_453_0021
PM-2.5 (Local Conditions) (POC 3) measured in micrograms per cubic meter (local conditions)
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/01/2019,170.0,187.0,122.0,13.0,6.0,4.0,5.0,7.0,7.0,10.0,12.0,14.0,13.0,13.0,9.0,10.0,13.0,13.0,14.0,11.0,14.0,17.0,17.0,17.0
01/02/2019,20.0,18.0,18.0,19.0,16.0,9.0,6.0,7.0,8.0,1.0,3.0,3.0,1.0,4.0,0.0,3.0,0.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0
01/03/2019,-2.0,0.0,-2.0,0.0,0.0,-1.0,5.0,2.0,0.0,-2.0,3.0,3.0,0.0,4.0,10.0,9.0,8.0,11.0,13.0,11.0,19.0,19.0,16.0,17.0
01/04/2019,25.0,27.0,18.0,13.0,12.0,6.0,8.0,2.0,3.0,5.0,0.0,2.0,2.0,1.0,8.0,5.0,0.0,6.0,15.0,11.0,24.0,26.0,22.0,20.0
01/05/2019,25.0,16.0,17.0,14.0,11.0,11.0,10.0,10.0,3.0,4.0,3.0,11.0,11.0,6.0,7.0,7.0,3.0,9.0,14.0,24.0,25.0,38.0,40.0,40.0
01/06/2019,30.0,32.0,19.0,16.0,14.0,19.0,16.0,14.0,12.0,12.0,14.0,12.0,5.0,7.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,5.0
01/07/2019,5.0,7.0,2.0,3.0,4.0,5.0,5.0,2.0,10.0,6.0,NEG,10.0,10.0,9.0,8.0,7.0,7.0,10.0,9.0,15.0,14.0,14.0,11.0,10.0
01/08/2019,7.0,11.0,10.0,6.0,11.0,11.0,7.0,9.0,7.0,15.0,9.0,7.0,7.0,5.0,8.0,2.0,2.0,1.0,4.0,5.0,3.0,5.0,2.0,3.0
01/09/2019,-1.0,2.0,5.0,2.0,-3.0,3.0,0.0,-3.0,2.0,-1.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,5.0,1.0,3.0,2.0,5.0,4.0,12.0
01/10/2019,10.0,9.0,8.0,6.0,9.0,9.0,5.0,6.0,8.0,5.0,3.0,6.0,4.0,1.0,6.0,5.0,5.0,6.0,8.0,7.0,9.0,8.0,10.0,5.0
01/11/2019,11.0,3.0,9.0,9.0,7.0,9.0,5.0,4.0,8.0,8.0,4.0,8.0,8.0,2.0,7.0,8.0,3.0,5.0,10.0,7.0,7.0,4.0,6.0,5.0
