CAMS 1068 PM-2.5 (Local Conditions) Summary Report for 2019
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
PM-2.5 (Local Conditions) (POC 2) measured in micrograms per cubic meter (local conditions)
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/29/2019,2.0,4.0,1.0,1.0,1.0,2.0,3.0,-3.0,0.0,2.0,3.0,7.0,-1.0,5.0,1.0,5.0,4.0,4.0,3.0,5.0,6.0,8.0,6.0,2.0
01/30/2019,3.0,6.0,3.0,4.0,3.0,6.0,3.0,7.0,7.0,5.0,8.0,1.0,6.0,2.0,7.0,4.0,7.0,5.0,7.0,4.0,6.0,8.0,10.0,4.0
01/31/2019,3.0,4.0,2.0,6.0,5.0,8.0,8.0,5.0,9.0,10.0,9.0,10.0,8.0,8.0,11.0,12.0,18.0,7.0,6.0,9.0,8.0,10.0,3.0,6.0
02/01/2019,6.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,8.0,8.0,11.0,9.0,10.0,8.0,7.0,10.0,7.0,8.0,7.0,11.0,9.0,9.0,7.0,12.0
02/02/2019,11.0,11.0,8.0,8.0,8.0,13.0,9.0,12.0,10.0,11.0,12.0,17.0,12.0,17.0,10.0,9.0,13.0,13.0,14.0,10.0,9.0,10.0,9.0,9.0
02/03/2019,7.0,7.0,4.0,5.0,3.0,5.0,5.0,7.0,7.0,8.0,9.0,13.0,13.0,13.0,11.0,21.0,17.0,17.0,16.0,16.0,17.0,18.0,15.0,16.0
02/04/2019,16.0,17.0,18.0,12.0,10.0,13.0,18.0,15.0,13.0,16.0,17.0,11.0,14.0,17.0,16.0,16.0,24.0,21.0,19.0,20.0,21.0,23.0,26.0,27.0
02/05/2019,23.0,25.0,23.0,24.0,26.0,27.0,23.0,20.0,AQI,AQI,15.0,20.0,17.0,22.0,22.0,22.0,23.0,24.0,31.0,29.0,27.0,17.0,14.0,12.0
02/06/2019,13.0,15.0,9.0,13.0,17.0,17.0,18.0,17.0,17.0,22.0,29.0,29.0,28.0,30.0,32.0,28.0,20.0,17.0,16.0,17.0,13.0,8.0,11.0,14.0
02/07/2019,15.0,16.0,16.0,17.0,16.0,20.0,21.0,23.0,5.0,12.0,10.0,3.0,-1.0,-1.0,2.0,2.0,2.0,5.0,7.0,4.0,6.0,6.0,4.0,4.0
02/08/2019,2.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,7.0,6.0,5.0,8.0,6.0,7.0,10.0,9.0,5.0,6.0,3.0,7.0,6.0,9.0,10.0
02/09/2019,5.0,3.0,2.0,3.0,7.0,6.0,5.0,10.0,7.0,6.0,8.0,7.0,9.0,12.0,13.0,13.0,12.0,14.0,14.0,13.0,16.0,13.0,10.0,7.0
02/10/2019,3.0,3.0,6.0,4.0,6.0,3.0,3.0,1.0,5.0,1.0,0.0,4.0,6.0,7.0,7.0,10.0,13.0,11.0,12.0,13.0,11.0,11.0,13.0,16.0
02/11/2019,17.0,11.0,16.0,14.0,13.0,13.0,17.0,19.0,PMA,AQI,12.0,8.0,7.0,13.0,7.0,8.0,11.0,9.0,13.0,10.0,13.0,11.0,8.0,7.0
02/12/2019,3.0,5.0,11.0,11.0,7.0,6.0,7.0,4.0,3.0,4.0,3.0,1.0,-2.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,11.0,13.0,13.0,23.0
02/13/2019,42.0,12.0,9.0,11.0,7.0,7.0,7.0,4.0,14.0,8.0,11.0,3.0,5.0,6.0,5.0,6.0,1.0,4.0,6.0,7.0,6.0,8.0,5.0,5.0
02/14/2019,5.0,4.0,6.0,3.0,2.0,4.0,5.0,1.0,6.0,5.0,8.0,11.0,9.0,8.0,12.0,6.0,10.0,6.0,9.0,6.0,8.0,8.0,6.0,5.0
02/15/2019,9.0,7.0,5.0,9.0,9.0,9.0,13.0,11.0,12.0,15.0,14.0,15.0,15.0,14.0,10.0,14.0,14.0,8.0,14.0,17.0,15.0,19.0,10.0,11.0
02/16/2019,11.0,7.0,11.0,14.0,15.0,19.0,21.0,21.0,21.0,24.0,19.0,18.0,15.0,16.0,15.0,17.0,20.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0
02/17/2019,22.0,21.0,23.0,20.0,21.0,12.0,8.0,6.0,5.0,8.0,11.0,10.0,18.0,15.0,9.0,7.0,6.0,7.0,8.0,7.0,11.0,7.0,8.0,7.0
02/18/2019,2.0,1.0,4.0,6.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,-1.0,5.0,6.0,8.0,6.0,10.0,8.0,7.0,8.0,10.0,6.0,9.0
02/19/2019,8.0,6.0,9.0,6.0,5.0,6.0,6.0,10.0,5.0,8.0,3.0,1.0,6.0,6.0,6.0,4.0,7.0,4.0,5.0,5.0,8.0,-1.0,3.0,3.0
02/20/2019,4.0,3.0,2.0,4.0,4.0,2.0,6.0,3.0,2.0,3.0,6.0,7.0,6.0,4.0,5.0,5.0,9.0,6.0,3.0,8.0,5.0,5.0,3.0,2.0
02/21/2019,3.0,4.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,8.0,6.0,6.0,7.0,6.0,9.0,7.0,7.0,11.0,6.0,6.0,8.0,9.0,8.0,6.0
02/22/2019,6.0,5.0,7.0,6.0,10.0,6.0,11.0,14.0,8.0,6.0,3.0,7.0,5.0,8.0,8.0,10.0,12.0,9.0,12.0,12.0,9.0,9.0,8.0,12.0
02/23/2019,12.0,10.0,8.0,6.0,4.0,4.0,6.0,10.0,5.0,5.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,7.0,10.0,16.0,12.0,8.0
02/24/2019,9.0,5.0,3.0,-1.0,2.0,3.0,2.0,-3.0,3.0,-1.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,10.0,6.0,8.0,5.0,5.0
