Time,NOx (ppb),NO2 (ppb),PM 2.5 (ug/m3)
2019-01-01 06:00:00 UTC,54.7,8.2,296
2019-01-01 07:00:00 UTC,83.2,5.6,423
2019-01-01 08:00:00 UTC,13.2,10.3,30
2019-01-01 09:00:00 UTC,10.5,9.9,10
2019-01-01 10:00:00 UTC,4.2,3.7,4
2019-01-01 11:00:00 UTC,2.9,2.8,5
2019-01-01 12:00:00 UTC,3.3,3.1,6
2019-01-01 13:00:00 UTC,3.6,3.5,8
2019-01-01 14:00:00 UTC,3.9,3.3,8
2019-01-01 15:00:00 UTC,3.6,3,13
2019-01-01 16:00:00 UTC,3.8,3.1,11
2019-01-01 17:00:00 UTC,4,2.9,14
2019-01-01 18:00:00 UTC,3.9,2.9,14
2019-01-01 19:00:00 UTC,4.4,3.4,10
2019-01-01 20:00:00 UTC,4.5,3.5,11
2019-01-01 21:00:00 UTC,4.8,3.9,11
2019-01-01 22:00:00 UTC,5.2,4.3,13
2019-01-01 23:00:00 UTC,5,4.5,13
2019-01-02 00:00:00 UTC,5.2,4.8,14
2019-01-02 01:00:00 UTC,5.6,5,13
2019-01-02 02:00:00 UTC,6.1,5.6,14
2019-01-02 03:00:00 UTC,5.3,4.8,16
2019-01-02 04:00:00 UTC,5.2,4.8,15
2019-01-02 05:00:00 UTC,5.2,4.8,13
2019-01-02 06:00:00 UTC,5.1,4.7,16
2019-01-02 07:00:00 UTC,6.1,5.7,17
2019-01-02 08:00:00 UTC,4.1,3.7,15
2019-01-02 09:00:00 UTC,4.6,4.5,21
2019-01-02 10:00:00 UTC,5.9,5.5,10
2019-01-02 11:00:00 UTC,5.9,5.5,10
2019-01-02 12:00:00 UTC,7.2,6.3,6
2019-01-02 13:00:00 UTC,8.6,7.5,2
2019-01-02 14:00:00 UTC,11.8,9.9,1
2019-01-02 15:00:00 UTC,10.2,8.1,3
2019-01-02 16:00:00 UTC,6.7,5.3,-1
2019-01-02 17:00:00 UTC,6.3,5,2
2019-01-02 18:00:00 UTC,8.5,6.4,3
2019-01-02 19:00:00 UTC,7.3,5.8,1
2019-01-02 20:00:00 UTC,7.2,5.9,3
2019-01-02 21:00:00 UTC,7.5,6.2,0
2019-01-02 22:00:00 UTC,11.6,9.3,-3
2019-01-02 23:00:00 UTC,27.6,12.7,3
2019-01-03 00:00:00 UTC,40.2,14.9,5
2019-01-03 01:00:00 UTC,9.6,7.4,3
2019-01-03 02:00:00 UTC,4.6,4,-1
2019-01-03 03:00:00 UTC,6.3,5.6,2
2019-01-03 04:00:00 UTC,6.4,5.8,0
2019-01-03 05:00:00 UTC,8,7,3
2019-01-03 06:00:00 UTC,4.9,4.6,0
2019-01-03 07:00:00 UTC,5.1,4.7,1
2019-01-03 08:00:00 UTC,3.5,3.1,2
2019-01-03 09:00:00 UTC,4.3,3.9,3
2019-01-03 10:00:00 UTC,4,3.7,1
2019-01-03 11:00:00 UTC,4.9,4.4,0
2019-01-03 12:00:00 UTC,5.3,4.7,3
2019-01-03 13:00:00 UTC,6.2,5.5,-1
2019-01-03 14:00:00 UTC,7,5.8,2
2019-01-03 15:00:00 UTC,5.9,4.6,-3
2019-01-03 16:00:00 UTC,4.5,3.5,-2
2019-01-03 17:00:00 UTC,3.3,2.5,6
2019-01-03 18:00:00 UTC,3.6,2.6,-5
2019-01-03 19:00:00 UTC,3.2,2.5,-1
2019-01-03 20:00:00 UTC,3.1,2.3,7
2019-01-03 21:00:00 UTC,3.6,3,9
2019-01-03 22:00:00 UTC,4.8,4.2,10
2019-01-03 23:00:00 UTC,9.3,8.7,8
2019-01-04 00:00:00 UTC,24.2,21.3,15
2019-01-04 01:00:00 UTC,58.1,25.1,18
2019-01-04 02:00:00 UTC,102,22.8,24
2019-01-04 03:00:00 UTC,103.7,18.6,23
2019-01-04 04:00:00 UTC,111.4,14.9,28
2019-01-04 05:00:00 UTC,79.8,14.6,23
2019-01-04 06:00:00 UTC,53.4,14.2,16
2019-01-04 07:00:00 UTC,58.2,12.2,19
2019-01-04 08:00:00 UTC,57.1,11.1,19
2019-01-04 09:00:00 UTC,48.2,11.7,11
2019-01-04 10:00:00 UTC,30.8,11.9,11
2019-01-04 11:00:00 UTC,15.7,9.3,6
2019-01-04 12:00:00 UTC,17.3,10.6,7
2019-01-04 13:00:00 UTC,22.5,12.1,5
2019-01-04 14:00:00 UTC,18.8,15,-1
2019-01-04 15:00:00 UTC,11.6,9.1,5
2019-01-04 16:00:00 UTC,5.8,4.3,3
2019-01-04 17:00:00 UTC,5.9,4.3,3
2019-01-04 18:00:00 UTC,4.8,3.7,4
2019-01-04 19:00:00 UTC,4.1,3.5,4
2019-01-04 20:00:00 UTC,4.2,3.5,2
2019-01-04 21:00:00 UTC,3.5,3.1,2
2019-01-04 22:00:00 UTC,4.7,4.4,1
2019-01-04 23:00:00 UTC,8.3,7.9,1
2019-01-05 00:00:00 UTC,50.3,24.9,5
2019-01-05 01:00:00 UTC,124.5,37.5,15
2019-01-05 02:00:00 UTC,161.1,34.3,21
2019-01-05 03:00:00 UTC,194.3,33.1,28
2019-01-05 04:00:00 UTC,229.1,31.3,28
2019-01-05 05:00:00 UTC,193.8,25.1,30
2019-01-05 06:00:00 UTC,182.1,22.5,35
2019-01-05 07:00:00 UTC,164.7,21,33
2019-01-05 08:00:00 UTC,118.2,19.1,27
2019-01-05 09:00:00 UTC,90.4,15.7,17
2019-01-05 10:00:00 UTC,66.8,13,12
2019-01-05 11:00:00 UTC,48.6,11.8,10
2019-01-05 12:00:00 UTC,62.5,16.5,5
2019-01-05 13:00:00 UTC,81.5,18.2,6
2019-01-05 14:00:00 UTC,51.7,30.2,2
2019-01-05 15:00:00 UTC,16.9,10.9,8
2019-01-05 16:00:00 UTC,12.3,8,0
2019-01-05 17:00:00 UTC,26.5,15.6,10
2019-01-05 18:00:00 UTC,33.9,19.3,6
2019-01-05 19:00:00 UTC,27.7,16.7,5
2019-01-05 20:00:00 UTC,32.4,19.3,5
2019-01-05 21:00:00 UTC,33.4,21,5
2019-01-05 22:00:00 UTC,34.8,23.2,5
2019-01-05 23:00:00 UTC,41.3,30,7
2019-01-06 00:00:00 UTC,70.9,45.3,8
2019-01-06 01:00:00 UTC,78.3,45.8,12
2019-01-06 02:00:00 UTC,78.2,41.7,19
2019-01-06 03:00:00 UTC,115.5,41.1,28
2019-01-06 04:00:00 UTC,122.1,37.2,30
2019-01-06 05:00:00 UTC,80.9,38.1,15
2019-01-06 06:00:00 UTC,55.3,32.9,17
2019-01-06 07:00:00 UTC,SPN,SPN,16
2019-01-06 08:00:00 UTC,SPN,SPN,14
2019-01-06 09:00:00 UTC,28,20.6,14
2019-01-06 10:00:00 UTC,54.9,22.4,16
2019-01-06 11:00:00 UTC,57.2,20.1,20
2019-01-06 12:00:00 UTC,64.9,17.8,16
2019-01-06 13:00:00 UTC,70.9,21.8,14
2019-01-06 14:00:00 UTC,62.1,28.2,14
2019-01-06 15:00:00 UTC,44.7,22.2,12
2019-01-06 16:00:00 UTC,34.9,18.8,13
2019-01-06 17:00:00 UTC,29.1,16.8,12
2019-01-06 18:00:00 UTC,24,14.4,7
2019-01-06 19:00:00 UTC,21.6,12.9,9
2019-01-06 20:00:00 UTC,19.3,12.2,7
